Time	Position	Checkpoint
140.58	(-2.54, 3.16, -29.16)	StartPoint 2.1
140.58	(-2.54, 3.16, -29.16)	StartPoint 2.1
140.58	(-2.54, 3.16, -29.16)	StartPoint 2.1
140.58	(-2.54, 3.16, -29.16)	StartPoint 2.1
145.66	(-2.54, 3.16, -29.16)	StartPoint 2.1
145.66	(-2.54, 3.16, -29.16)	StartPoint 2.1
145.66	(-2.54, 3.16, -29.16)	StartPoint 2.1
145.66	(-2.54, 3.16, -29.16)	StartPoint 2.1
151.38	(-2.54, 3.16, -0.42)	CheckPoint 2.1
151.38	(-2.54, 3.16, -0.42)	CheckPoint 2.1
151.44	(-2.54, 3.16, -0.42)	CheckPoint 2.1
151.44	(-2.54, 3.16, -0.42)	CheckPoint 2.1
163.04	(-2.54, 3.16, 41.34)	CheckPoint 2.2
163.04	(-2.54, 3.16, 41.34)	CheckPoint 2.2
163.1	(-2.54, 3.16, 41.34)	CheckPoint 2.2
163.1	(-2.54, 3.16, 41.34)	CheckPoint 2.2
168.68	(-2.54, 3.16, 41.34)	CheckPoint 2.2
168.68	(-2.54, 3.16, 41.34)	CheckPoint 2.2
168.68	(-2.54, 3.16, 41.34)	CheckPoint 2.2
168.68	(-2.54, 3.16, 41.34)	CheckPoint 2.2
190.4	(-2.54, 8.14, 105.44)	CheckPoint 2.3
190.4	(-2.54, 8.14, 105.44)	CheckPoint 2.3
190.46	(-2.54, 8.14, 105.44)	CheckPoint 2.3
190.48	(-2.54, 8.14, 105.44)	CheckPoint 2.3
